Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Faruque, Mohammad O; Ghahremannezhad, Hadi; Liu, Chengjun; ",Vehicle classification in video using deep learning,"Machine Learning and Data Mining in Pattern Recognition, MLDM",,,117-131,2019,ibai publishing Leipzig
"Shi, Hang; Ghahremannezhad, Hadi; Liu, Chengjun; ",A Statistical Modeling Method for Road Recognition in Traffic Video Analytics,2020 11th IEEE International Conference on Cognitive Infocommunications (CogInfoCom),,,000097-000102,2020,IEEE
"Ghahremannezhad, Hadi; ",Improving The Performance of Vehicle Detection in Satellite Images Using Artificial Neural Networks,,,,,2017,University of Shahid Beheshti
"Ghahremannezhad, Hadi; Shi, Hang; Liu, Chengjun; ",Automatic Road Detection In Traffic Videos,The 10th IEEE International Conference on Big Data and Cloud Computing,,(BD Cloud-2020),17-19 December 2020,2020,"Exeter, UK"
"Ghahremannezhad, Hadi; Shi, Hang; Liu, Chengjun; ",A Real Time Accident Detection Framework for Traffic Video Analysis,"the 16th International Conference on Machine Learning and Data Mining, July 18-23, 2020",16,,85-99,2020,http://www.mda-signals.de/Videopresentations_conf_2020/Paper13_MLDM_Hadi.mp4
"Ghahremannezhad, Hadi; Shi, Hang; Liu, Chengjun; ",Robust Road Region Extraction in Video Under Various Illumination and Weather Conditions,"Fourth IEEE International Conference on Image Processing, Applications and Systems, Genova, Italy",4,,,2020,
"Ghahremannezhad, Hadi; Shi, Hang; Liu, Chengjun; ",A New Adaptive Bidirectional Region-of-Interest Detection Method for Intelligent Traffic Video Analysis,the 3rd IEEE International Conference on Artificial Intelligence and Knowledge Engineering,,,,2020,
"Ding, Hu; Ding, Tianchen; Ding, Xiaoning; Ding, Yan; Dong, Dezun; Dong, Pan; Dong, Rongyu; Dong, Tingting; Dong, Xiao; Dong, Xiaoju; ","Fu, Dengsheng 1460 Fu, Peng 1, 128 Gao, Congjie 802 Gao, Long 277 Gao, Neng 433",,,,,,
"Ghahremannezhad, Hadi; Shi, Hang; Liu, Chengjun; ",A new online approach for moving cast shadow suppression in traffic videos,2021 IEEE International Intelligent Transportation Systems Conference (ITSC),,,3034-3039,2021,IEEE
"Shi, Hang; Ghahremannezhad, Hadi; Liu, Chengjun; ",Anomalous driving detection for traffic surveillance video analysis,2021 IEEE International Conference on Imaging Systems and Techniques (IST),,,1-6,2021,IEEE
"Ghahremannezhad, Hadi; Shi, Hang; Liu, Chengjun; ",Real-time accident detection in traffic surveillance using deep learning,2022 IEEE international conference on imaging systems and techniques (IST),,,1-6,2022,IEEE
"Ghahremannezhad, Hadi; Shi, Hang; Liu, Chengjun; ",Illumination-aware image segmentation for real-time moving cast shadow suppression,2022 IEEE International Conference on Imaging Systems and Techniques (IST),,,1-6,2022,IEEE
"Ghahremannezhad, Hadi; Shi, Hang; Liu, Chengjun; ",Real-time hysteresis foreground detection in video captured by moving cameras,2022 IEEE International Conference on Imaging Systems and Techniques (IST),,,1-6,2022,IEEE
"Shi, Hang; Ghahremannezhad, Hadi; Liu, Chengjun; ",Unsupervised anomaly detection in traffic surveillance based on global foreground modeling,2022 IEEE International Conference on Imaging Systems and Techniques (IST),,,1-6,2022,IEEE
"Ghahremannezhad, Hadi; Liu, Chengjun; Shi, Hang; ",Traffic Surveillance Video Analytics: A Concise Survey,18th International Conference on Machine Learning and Data Mining (MLDM),,,267-281,2022,
"Ghahremannezhad, Hadi; Liu, Chengjun; Shi, Hang; ",Ammunition Component Classification Using Deep Learning,18th International Conference on Machine Learning and Data Mining (MLDM),,,63 - 75,2022,ibai
"Ghahremannezhad, Hadi; Shi, Hang; Liu, Chengjun; ",Object detection in traffic videos: A survey,IEEE Transactions on Intelligent Transportation Systems,,,,2023,IEEE
"Ghahremannezhad, Hadi; Liu, Chengjun; Shi, Hang; ",Intelligent Traffic Video Analytics,Intelligent Image and Video Analytics,,,85-128,2023,CRC Press
"Ghahremannezhad, Hadi; ",Advanced Traffic Video Analytics for Robust Traffic Accident Detection,,,,,2023,New Jersey Institute of Technology
